,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_hits@1,val_hits@1,val_hits@1,val_hits@1,val_hits@10,val_hits@10,val_hits@10,val_hits@10,val_hits@100,val_hits@100,val_hits@100,val_hits@100,val_hits@50,val_hits@50,val_hits@50,val_hits@50,val_mrr,val_mrr,val_mrr,val_mrr,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews05-15,ssptgfm,full,standard,1.0,0.00217580562424127,5,0.8464350752636676,0.0024822700416478796,0.0026086658328198066,5,0.9434270098779718,0.0029760990473296886,0.0,5,74087.0,0.0,0.011503120349617205,5,0.36,0.013123346456686337,0.007562880109822943,5,0.6773333333333333,0.008628119403696519,0.0056201858411344735,5,0.8560000000000001,0.006411794687223734,0.005695627952893135,5,0.8146666666666667,0.006497862896539296,0.009592053007714504,5,0.4710481133263099,0.010943103351546402,0.00039036408231819293,5,0.9808269020498603,0.00044534725716214446,0.0020666044320023468,5,0.8719141104128172,0.002357687751305913,0.0017459050536530465,5,0.95551879664864,0.0019918175419533827,0.0,5,60324.0,0.0,0.010932357680045248,5,0.38,0.012472191289246466,0.005226666666666646,5,0.6973333333333334,0.005962847939999415,0.011240371682269018,5,0.8720000000000001,0.01282358937444755,0.011240371682269056,5,0.8386666666666667,0.01282358937444759,0.005438106476488224,5,0.4879342499919441,0.006204069260362005,0.0003246535430048082,5,0.9841984358340239,0.000370381322089236
icews05-15,ssptgfm,identity_time,standard,1.0,0.004547139758398738,5,0.846413015166353,0.005187608981107933,0.0037896682864348038,5,0.9428468391128302,0.00432344688808335,0.0,5,74087.0,0.0,0.009557442707707484,5,0.356,0.010903618155864077,0.0068522178080449615,5,0.6833333333333333,0.007817359599705684,0.008366749003578915,5,0.8573333333333334,0.009545214042184228,0.007840000000000012,5,0.8106666666666668,0.008944271909999173,0.010115565086853443,5,0.4657685837019357,0.011540352635218298,0.0007227001873952576,5,0.9807812903977837,0.0008244932379426698,0.004802292531055995,5,0.8718500182726105,0.00547870027922486,0.00260823592799322,5,0.9548867628438377,0.0029756085899745343,0.0,5,60324.0,0.0,0.005843590981199439,5,0.38666666666666666,0.006666666666666654,0.007156908084734208,5,0.6933333333333334,0.008164965809277305,0.005226666666666657,5,0.8693333333333333,0.005962847939999429,0.003200666597236709,5,0.8426666666666666,0.003651483716701134,0.0011814195826450743,5,0.4917268134041457,0.001347823722828478,0.0006669310462821098,5,0.9841440303716686,0.0007608689570366612
icews05-15,ssptgfm,lstm_encoder,standard,1.0,0.0005705865131850969,5,0.8480032091773279,0.0006509541992481922,0.0006984622083398763,5,0.9445564931111404,0.0007968413150829511,0.0,5,74087.0,0.0,0.007275212100764557,5,0.354,0.008299933065325817,0.008417611168127075,5,0.6853333333333333,0.009603240193925281,0.005620185841134497,5,0.8626666666666667,0.00641179468722376,0.0038095552379655774,5,0.8206666666666667,0.0043461349368017444,0.007940025565744925,5,0.4688990040569534,0.009058386177597896,9.572628586716373e-05,5,0.9810556662143016,0.00010920942981252833,0.0005301067658343455,5,0.8737269454811631,0.0006047728386419181,0.0004919584561394863,5,0.9563975385453748,0.0005612513010376226,0.0,5,60324.0,0.0,0.0066627188310945775,5,0.39066666666666666,0.007601169500660926,0.00977819797076928,5,0.7093333333333334,0.011155467020454396,0.009239528607504275,5,0.8733333333333334,0.01054092553389466,0.004132042809286674,5,0.8400000000000001,0.004714045207910308,0.004212658562827135,5,0.4951068795855852,0.004806015771672471,7.566464908857613e-05,5,0.9844361713984071,8.632209125292028e-05
icews05-15,ssptgfm,no_cross,standard,1.0,0.002200519511842543,5,0.8468033726497076,0.0025104649052523366,0.0013225808867788544,5,0.944235586808819,0.0015088677390711588,0.0,5,74087.0,0.0,0.007275212100764566,5,0.35266666666666663,0.008299933065325827,0.006726478358778181,5,0.6813333333333333,0.007673909622147568,0.008765386471799162,5,0.8533333333333333,0.009999999999999986,0.010932357680045256,5,0.8166666666666667,0.012472191289246476,0.00803319223974957,5,0.4697825815866105,0.009164675471634605,0.0002780007447570367,5,0.9809108775365534,0.0003171574301389297,0.0027675933450466025,5,0.8720220491565266,0.00315741166000012,0.0015215556688403117,5,0.955800750931707,0.0017358683199372937,0.0,5,60324.0,0.0,0.01139125590578629,5,0.3973333333333333,0.012995725793078615,0.011240371682269015,5,0.7013333333333334,0.012823589374447542,0.008862244511283672,5,0.8773333333333333,0.01011050059206872,0.009601999791710029,5,0.8320000000000001,0.01095445115010329,0.007239028316139567,5,0.4983100693773877,0.008258652758129547,0.0003877927963664727,5,0.9842144115797316,0.00044241380298988087
icews05-15,ssptgfm,no_gate,standard,1.0,0.0005627213034553244,5,0.8463559978971869,0.0006419811667925473,0.0008248351644266988,5,0.9422907246513684,0.000941014029535875,0.0,5,74087.0,0.0,0.00562018584113451,5,0.35733333333333334,0.0064117946872237755,0.002613333333333316,5,0.6813333333333333,0.0029814239699997,0.005695627952893113,5,0.8553333333333333,0.006497862896539271,0.007036615347989097,5,0.8153333333333332,0.008027729719194878,0.0025886948816702827,5,0.46787291363621775,0.0029533151675614935,8.436161946965933e-05,5,0.9807091446878266,9.62440386868e-05,0.0005659886552534793,5,0.8720393366327086,0.0006457087283879966,0.0007464295617994619,5,0.9545791894882504,0.0008515649186729476,0.0,5,60324.0,0.0,0.007619110475931194,5,0.37466666666666665,0.008692269873603534,0.013066666666666674,5,0.6933333333333334,0.014907119849998608,0.006662718831094575,5,0.8773333333333333,0.007601169500660923,0.002613333333333326,5,0.8346666666666668,0.0029814239699997116,0.005641350613339625,5,0.4838338530971596,0.006435940538947721,0.00010175090703376488,5,0.9841072125862746,0.00011608262494885702
icews05-15,ssptgfm,no_theory_loss,standard,1.0,0.0036529935700768666,5,0.85313762205266,0.004167521400031385,0.004680487303264297,5,0.9469481283052517,0.00533973866220594,0.0,5,74087.0,0.0,0.008160130717907218,5,0.35133333333333333,0.009309493362512602,0.016398536520067845,5,0.6799999999999999,0.018708286933869667,0.004619764303752116,5,0.8633333333333333,0.005270462766947305,0.011975797816151237,5,0.8220000000000001,0.013662601021279436,0.005723887680516497,5,0.4623234464481511,0.006530103035310452,0.0007250475737753495,5,0.9818325248948525,0.0008271712560627427,0.001900502406523078,5,0.879422232444093,0.0021681900879528277,0.002826092617263245,5,0.9593068532883109,0.003224150613730057,0.0,5,60324.0,0.0,0.009601999791710052,5,0.37866666666666665,0.010954451150103316,0.013452956717556325,5,0.6839999999999999,0.015347819244295093,0.005226666666666666,5,0.884,0.005962847939999439,0.003200666597236686,5,0.8426666666666666,0.0036514837167011074,0.005004259739402549,5,0.4885043488307453,0.005709114772637492,0.0004060336441071981,5,0.9852987330006169,0.0004632238925385979
icews05-15,ssptgfm,random_fourier_time,standard,1.0,0.0013593280146103673,5,0.8471966860468692,0.0015507907369329637,0.0011002861723677195,5,0.9442907379003287,0.001255262589855751,0.0,5,74087.0,0.0,0.01385929291125635,5,0.3466666666666667,0.01581138830084192,0.0060587640837238416,5,0.6913333333333334,0.006912147117775887,0.004619764303752063,5,0.86,0.005270462766947245,0.00530770509102884,5,0.8119999999999999,0.006055300708194998,0.00849740456890097,5,0.4665461355702617,0.009694272575704013,0.00016955186404410551,5,0.9809534363583075,0.00019343341516041957,0.0014402348199045248,5,0.8723176707968122,0.001643093347381982,0.00037170158248003447,5,0.9554901920293062,0.00042405612539265407,0.0,5,60324.0,0.0,0.008862244511283696,5,0.396,0.010110500592068748,0.01266860336071467,5,0.6946666666666668,0.014452988925785863,0.011687181962398933,5,0.8800000000000001,0.013333333333333372,0.01578851340549692,5,0.8293333333333333,0.018012341448141744,0.008075324980830814,5,0.49447091808065535,0.009212742651806065,0.0001311239117373807,5,0.9842176321291788,0.00014959284700023765
icews05-15,ssptgfm,random_negative,standard,1.0,0.0007396279843278234,5,0.8467059302303417,0.0008438053321521236,0.0012587420539253895,5,0.9440512134353856,0.001436037142201468,0.0,5,74087.0,0.0,0.00619806421393004,5,0.35,0.007071067811865494,0.004889098985384612,5,0.6813333333333333,0.005577733510227166,0.003809555237965572,5,0.8593333333333334,0.004346134936801738,0.004889098985384597,5,0.8146666666666667,0.005577733510227148,0.006656947630584539,5,0.46553950751430956,0.007594585420736321,0.00013031413016799325,5,0.9808695884669334,0.00014866900687979029,0.0004839930677629149,5,0.872129218539291,0.000552163979671704,0.0006788013401049888,5,0.9563028388963593,0.0007744111937207701,0.0,5,60324.0,0.0,0.010453333333333344,5,0.39466666666666667,0.011925695879998892,0.013452956717556318,5,0.6826666666666668,0.015347819244295086,0.009601999791710078,5,0.8653333333333333,0.010954451150103345,0.009601999791710062,5,0.8320000000000001,0.010954451150103326,0.007623521441188441,5,0.4944615197663437,0.008697302127767613,9.527637201539729e-05,5,0.9842578094637936,0.0001086961451408097
icews05-15,ssptgfm,sem_only,standard,1.0,0.0013296984628635125,5,0.8535075894267227,0.0015169878329284665,0.0019525173686750527,5,0.948762239246908,0.002227531410003284,0.0,5,74087.0,0.0,0.013452956717556334,5,0.36066666666666664,0.015347819244295104,0.006334301680357316,5,0.6893333333333334,0.007226494462892911,0.007156908084734173,5,0.8666666666666666,0.008164965809277263,0.003809555237965592,5,0.826,0.004346134936801762,0.008323509242965096,5,0.47498817406765903,0.009495883917662127,0.0002971353277515869,5,0.9819646567232763,0.0003389871384536878,0.0003833888668472146,5,0.8796209964296612,0.0004373895755545854,0.0010565502195606373,5,0.9599991150966488,0.0012053663839693435,0.0,5,60324.0,0.0,0.01280266638894674,5,0.39733333333333337,0.014605934866804426,0.006662718831094602,5,0.704,0.007601169500660954,0.0026133333333333486,5,0.8853333333333333,0.002981423969999737,0.0032006665972366946,5,0.8493333333333334,0.0036514837167011174,0.006384298441506405,5,0.5002293111570413,0.007283533318293005,0.00011138827077944903,5,0.9853293141550026,0.0001270774211015314
