,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_hits@1,val_hits@1,val_hits@1,val_hits@1,val_hits@10,val_hits@10,val_hits@10,val_hits@10,val_hits@100,val_hits@100,val_hits@100,val_hits@100,val_hits@50,val_hits@50,val_hits@50,val_hits@50,val_mrr,val_mrr,val_mrr,val_mrr,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icews14,ssptgfm,full,standard,1.0,0.006139074249030411,5,0.7169869781966659,0.007003769050893099,0.002821313260954192,5,0.9288277977236865,0.0032186980802628457,0.0,5,14378.0,0.0,0.007077744273424978,5,0.31520000000000004,0.008074651695274547,0.0066293215339128025,5,0.6472,0.007563068160475615,0.007375435987112873,5,0.8356,0.008414273587185024,0.010040098804294711,5,0.7912000000000001,0.011454256850621089,0.004440863423060598,5,0.42774117178905335,0.0050663635167121955,0.0013099858274166999,5,0.9550133011597749,0.001494498652890331,0.006624805773435856,5,0.699187419290426,0.007557916350579411,0.0025269179486744607,5,0.9165886377373926,0.0028828368912247036,0.0,5,14592.0,0.0,0.012777636714197198,5,0.24500000000000002,0.014577379737113259,0.007201499843782489,5,0.5660000000000001,0.00821583836257743,0.008543441929339677,5,0.8119999999999999,0.009746794344808915,0.007840000000000005,5,0.766,0.008944271909999165,0.0055823061828187874,5,0.3440444477119045,0.006368579640816417,0.001343396848552313,5,0.9506640650704821,0.0015326156500622254
icews14,ssptgfm,identity_time,standard,1.0,0.03004554239698249,5,0.6161779610992607,0.034277487357400424,0.005055361348376576,5,0.9034480476956253,0.005767414094793378,0.0,5,14378.0,0.0,0.006744223009361409,5,0.3492,0.0076941536246685266,0.015363199666736113,5,0.6408,0.01752712184016534,0.004800999895855033,5,0.8480000000000001,0.005477225575051666,0.00581429961388296,5,0.806,0.0066332495807107554,0.006800778153180378,5,0.4477565834084862,0.007758674617554491,0.005401025418747302,5,0.9371009435528801,0.0061617652982261404,0.030122289431918303,5,0.6038636233236916,0.03436504428963921,0.005067266965443068,5,0.8898291017127866,0.005780996630035601,0.0,5,14592.0,0.0,0.010554923021983638,5,0.263,0.012041594578792308,0.012777636714197167,5,0.56,0.014577379737113224,0.005367681063550624,5,0.8400000000000001,0.006123724356957941,0.004997039123320922,5,0.797,0.0057008771254956825,0.007341757041202377,5,0.36303024526649585,0.008375850927763388,0.005242956830920564,5,0.933702049514005,0.005981432590324109
icews14,ssptgfm,lstm_encoder,standard,1.0,0.01125964538565569,5,0.7085563893183815,0.01284557779840202,0.0044688951382435465,5,0.9253432538169539,0.005098343527260659,0.0,5,14378.0,0.0,0.009325975766642342,5,0.32320000000000004,0.010639548862616323,0.004035887015266912,5,0.6412,0.0046043457732885444,0.006272000000000007,5,0.8368,0.007155417527999335,0.007601162016428818,5,0.7872,0.008671793355471536,0.005876812675446622,5,0.4338313735443644,0.0067045676700668655,0.002305995918748808,5,0.9531478757299965,0.0026307977704894984,0.010953448401311695,5,0.6922202009601527,0.012496252659882322,0.00514007362570047,5,0.9128553893986611,0.00586405818184697,0.0,5,14592.0,0.0,0.0065005845890965894,5,0.244,0.00741619848709567,0.004997039123320861,5,0.563,0.005700877125495612,0.011344320164734377,5,0.821,0.012942179105544734,0.0069296464556281865,5,0.775,0.007905694150420972,0.0057086862832682606,5,0.3405368034479318,0.00651276050592268,0.0024016397400283703,5,0.9490247899456751,0.0027399131204940605
icews14,ssptgfm,no_cross,standard,1.0,0.003455496374759476,5,0.7154024929881283,0.003942206525492998,0.0017172058193369937,5,0.9283295356398831,0.0019590759915284394,0.0,5,14378.0,0.0,0.01132059079730383,5,0.3164,0.012915107432770363,0.007995262597313478,5,0.6508,0.009121403400793095,0.00505056670087625,5,0.8371999999999999,0.005761944116355174,0.006022018266329006,5,0.7948000000000001,0.006870225614927087,0.00808494434364058,5,0.42965257093528725,0.009223716911572836,0.0007541718285386694,5,0.9546800147220786,0.0008603976914937657,0.00486670190433247,5,0.6986122421732913,0.005552181777711777,0.0017323297209949112,5,0.917500330686936,0.0019763301099938093,0.0,5,14592.0,0.0,0.011760000000000007,5,0.244,0.013416407864998746,0.01134432016473439,5,0.569,0.012942179105544752,0.005367681063550593,5,0.82,0.006123724356957906,0.006929646455628171,5,0.78,0.007905694150420955,0.006883739642292601,5,0.3425090007982187,0.007853321316110379,0.0009302058457523227,5,0.9506566066708251,0.0010612262776376928
icews14,ssptgfm,no_gate,standard,1.0,0.010563841861070249,5,0.7055063413177759,0.012051769645362738,0.0069295963941436965,5,0.920699223464327,0.007905637037725883,0.0,5,14378.0,0.0,0.00793739503867611,5,0.326,0.009055385138137428,0.0072705169004686244,5,0.6496000000000001,0.00829457654133108,0.019187989576816018,5,0.8332,0.021890637268019406,0.017113841883107377,5,0.7968,0.019524343778985258,0.004178834687616099,5,0.43625940134049995,0.00476742776951209,0.002559756279021849,5,0.9521406366170106,0.0029203005335330474,0.009686360308058844,5,0.6859965755569174,0.011050693930293561,0.0069702816729327825,5,0.9061156463670011,0.007952052879080948,0.0,5,14592.0,0.0,0.0039200000000000025,5,0.248,0.004472135954999582,0.007201499843782533,5,0.576,0.00821583836257748,0.007961557636543222,5,0.817,0.009082951062292455,0.010463536686990658,5,0.774,0.011937336386313292,0.0034196734899944892,5,0.3451316180187515,0.0039013379512661353,0.002499385324623072,5,0.9472218735565494,0.002851426269297229
icews14,ssptgfm,no_theory_loss,standard,1.0,0.0053304267113893295,5,0.715777813590308,0.006081222691707752,0.003802082214376346,5,0.9311536471473154,0.004337609330300224,0.0,5,14378.0,0.0,0.016191071119601705,5,0.32320000000000004,0.018471599822430126,0.005459928204656177,5,0.6524,0.006228964600958977,0.010835095569490843,5,0.8395999999999999,0.012361229712289961,0.009473108043298147,5,0.7936,0.01080740486888504,0.011083923120503757,5,0.4363080375899453,0.012645104874912242,0.0013365817681654998,5,0.9548910156800006,0.0015248406587270013,0.006613702638644773,5,0.6997785420202352,0.007545249328050735,0.005224408434722128,5,0.9208323335703353,0.0059602716338071175,0.0,5,14592.0,0.0,0.00854344192933973,5,0.248,0.009746794344808976,0.012626416752190613,5,0.573,0.014404860290887923,0.014065646092519134,5,0.818,0.016046806535881166,0.011595516374875253,5,0.78,0.01322875655532296,0.007285160305871407,5,0.3473900601424339,0.008311282485158994,0.0016236441452453295,5,0.9511173390280678,0.0018523360612439281
icews14,ssptgfm,random_fourier_time,standard,1.0,0.009429675007037445,5,0.7088464932454708,0.010757854245646193,0.0049297866443784475,5,0.9254132016424144,0.00562415206704122,0.0,5,14378.0,0.0,0.006369246109234598,5,0.3164,0.0072663608498339865,0.01025213031520767,5,0.6564,0.011696153213770764,0.007121033632837305,5,0.836,0.008124038404635965,0.005111054685678864,5,0.794,0.005830951894845286,0.004217703943258223,5,0.4326514757182915,0.004811771799027705,0.0021684271797385193,5,0.9532795083392077,0.002473852335792594,0.009352148939652624,5,0.6919679256898723,0.010669408553451963,0.004609658664207297,5,0.911497753609434,0.005258933737876731,0.0,5,14592.0,0.0,0.014732630450805449,5,0.24299999999999997,0.016807736313971613,0.010089717538167208,5,0.557,0.01151086443322128,0.01974645284601768,5,0.827,0.022527760652137616,0.02017943507633454,5,0.774,0.023021728866442697,0.012259758482639969,5,0.3396925484564792,0.013986557834139107,0.0020545134238867066,5,0.9487475519559331,0.0023438937124982224
icews14,ssptgfm,random_negative,standard,1.0,0.00922217074685183,5,0.7117910500363722,0.010521122801056477,0.0033185167908814516,5,0.9263226176814042,0.003785933229023153,0.0,5,14378.0,0.0,0.006247451960599624,5,0.3116,0.007127411872482193,0.0050505667008762575,5,0.6472,0.005761944116355183,0.008852606395858805,5,0.8379999999999999,0.010099504938362092,0.0062720000000000145,5,0.7928000000000001,0.007155417527999344,0.00615538277658744,5,0.4279606384156415,0.007022374651010672,0.0019064063243440384,5,0.9539163730686389,0.002174925578555501,0.008013672597871136,5,0.6940112834454155,0.009142406468503672,0.003343688861055321,5,0.914986002021806,0.00381465081067783,0.0,5,14592.0,0.0,0.016860557523403555,5,0.248,0.019235384061671353,0.008543441929339675,5,0.573,0.009746794344808914,0.008765386471799117,5,0.8099999999999999,0.009999999999999934,0.010089717538167285,5,0.768,0.011510864433221366,0.009939041615289804,5,0.3456070407356588,0.011338965654585365,0.0016948967605591126,5,0.9496470726025974,0.0019336246793134493
icews14,ssptgfm,sem_only,standard,1.0,0.009426280278762297,5,0.7209500682047879,0.01075398136646845,0.008829400288425071,5,0.9277184940300266,0.010073030227283016,0.0,5,14378.0,0.0,0.00858828970168101,5,0.326,0.00979795897113272,0.005170835135643008,5,0.6644,0.005899152481501077,0.0038407999166839893,5,0.8507999999999999,0.004381780460041291,0.008462116992809727,5,0.8088000000000001,0.009654014708917679,0.0059329888017405795,5,0.43993377074425233,0.00676865626042702,0.002486921129197566,5,0.9554281233071071,0.0028372064793705585,0.009035344927565817,5,0.7020864195349847,0.010307982376630142,0.009196693220232262,5,0.9151870888721468,0.010492056739107542,0.0,5,14592.0,0.0,0.005714332856948398,5,0.251,0.0065192024052026535,0.003919999999999987,5,0.592,0.004472135954999565,0.009088146125585795,5,0.8480000000000001,0.010368220676663866,0.015370699398530929,5,0.807,0.017535677916750148,0.00901893305662699,5,0.3494545557994372,0.010289258877111178,0.002480682321385695,5,0.9507861556453232,0.002830088929183875
icews14,ssptgfm,struct_only,standard,1.0,0.0005084155114042168,5,0.6980015209280023,0.0005800263491403818,0.0027550412439886597,5,0.9060927173651976,0.0031430915828439938,0.0,5,14378.0,0.0,0.005200467671277273,5,0.33080000000000004,0.005932958789676537,0.009024517715645542,5,0.656,0.010295630140987017,0.00403588701526688,5,0.8331999999999999,0.004604345773288508,0.003919999999999989,5,0.792,0.004472135954999567,0.004369547164929271,5,0.4402543093770694,0.00498500229167007,0.00033289971874262553,5,0.9491516305625323,0.0003797889799995263,0.0018149347266243011,5,0.6775090274612376,0.0020705701140086405,0.0026873164559872813,5,0.8921977996685279,0.0030658276901231545,0.0,5,14592.0,0.0,0.004997039123320933,5,0.263,0.005700877125495695,0.011841385054122687,5,0.582,0.013509256086106303,0.01239612842786,5,0.82,0.014142135623730897,0.011344320164734415,5,0.784,0.01294217910554478,0.0038432267996950527,5,0.35676499181134347,0.004384549171973014,0.0005444560014037233,5,0.9440736586839791,0.000621143178518595
