,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_ndcg,test_ndcg,test_ndcg,test_ndcg,test_tgb_hits@10,test_tgb_hits@10,test_tgb_hits@10,test_tgb_hits@10,test_tgb_mrr,test_tgb_mrr,test_tgb_mrr,test_tgb_mrr,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg,val_tgb_hits@10,val_tgb_hits@10,val_tgb_hits@10,val_tgb_hits@10,val_tgb_mrr,val_tgb_mrr,val_tgb_mrr,val_tgb_mrr
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tkgl-smallpedia,ssptgfm,full,label_split,1.0,0.011537832009842701,5,0.513661537090246,0.013162947289276175,0.013308335260425679,5,0.7969024441871214,0.015182827709014891,0.0,5,163172.0,0.0,0.002981718944330525,5,0.9317651582967799,0.003401697065980595,0.02278940397627261,5,0.11953125,0.025999314519208963,0.007170340955074922,5,0.08877223015454638,0.008180290712958312,0.047542222718566896,5,0.4585225328561089,0.0542385927551788,0.02786711347616642,5,0.7862060546875,0.03179222452520846,0.0,5,162066.0,0.0,0.017613088285541353,5,0.8556765150929273,0.020093909540905966,0.008928645088981864,5,0.290625,0.010186253758129137,0.0013071215065861275,5,0.2584218823486174,0.0014912308895808778
tkgl-smallpedia,ssptgfm,identity_time,label_split,1.0,0.01308497241802046,5,0.5268469781689566,0.01492800398489977,0.00836538133903411,5,0.8050872557745056,0.00954365374070841,0.0,5,163172.0,0.0,0.0025415311255479914,5,0.9343658264614969,0.002899508348804521,0.004464322544490933,5,0.11796875,0.005093126879064569,0.002009916213493881,5,0.08933399483644189,0.0022930149400261727,0.02653441811141421,5,0.46151784558303727,0.030271817673736615,0.019647559990370777,5,0.792529296875,0.02241493863799703,0.0,5,162066.0,0.0,0.010151900758966591,5,0.8577620699641668,0.011581806223408677,0.0061250000000000054,5,0.29375,0.0069877124296868496,0.003964241752249686,5,0.25999620733822243,0.004522609202690397
tkgl-smallpedia,ssptgfm,lstm_encoder,label_split,1.0,0.01665416052910194,5,0.5146328822855457,0.01899991584248255,0.014062815387739357,5,0.7923683460132934,0.01604357712347718,0.0,5,163172.0,0.0,0.0035401447078176897,5,0.931366814183401,0.004038777661666574,0.018053171250157127,5,0.115625,0.020595978635100105,0.005445498928823928,5,0.08339659777118134,0.00621250294706765,0.038939928508805434,5,0.4889664366040069,0.04442465672687295,0.02569339452598307,5,0.795086669921875,0.029312335067764865,0.0,5,162066.0,0.0,0.01431561501447317,5,0.8662289503447838,0.016331983832693187,0.010827572586919005,5,0.2890625,0.012352647110032729,0.004926385401265005,5,0.2542557372106833,0.0056202717554036385
tkgl-smallpedia,ssptgfm,no_cross,label_split,1.0,0.009859028275714627,5,0.5159401618830227,0.01124768235540329,0.012734339095333022,5,0.7995616403046134,0.014527983604947864,0.0,5,163172.0,0.0,0.0025792002197448476,5,0.9323173507177922,0.0029424831729244257,0.01975846584773853,5,0.11953125,0.022541465697271106,0.011261681716268757,5,0.09197683614779682,0.01284790094823645,0.031834387396062286,5,0.4674117444763167,0.036318292979417244,0.021534694247688065,5,0.79197509765625,0.024567877659440924,0.0,5,162066.0,0.0,0.011616803397514584,5,0.8593956527690384,0.013253041876578124,0.0068479581810931035,5,0.2890625,0.007812499999999998,0.0036695742978919764,5,0.2560163035052672,0.0041864375400880215
tkgl-smallpedia,ssptgfm,no_gate,label_split,1.0,0.012171538874011222,5,0.5001775726712744,0.013885912404627726,0.006192692319104482,5,0.794898360757368,0.0070649392802339,0.0,5,163172.0,0.0,0.0013830020432218381,5,0.9297063070125414,0.0015777992763597614,0.0034239790905465526,5,0.1015625,0.00390625,0.0008646322652318515,5,0.0816546202852491,0.0009864165921418613,0.01431052126976502,5,0.510250452102486,0.016326172628903672,0.012282775479716937,5,0.802366943359375,0.014012816798476869,0.0,5,162066.0,0.0,0.005425989169500575,5,0.8736522642789935,0.006190245218459651,0.006125,5,0.29375,0.006987712429686844,0.004130283670719512,5,0.2548777016722186,0.0047120382929011165
tkgl-smallpedia,ssptgfm,no_theory_loss,label_split,1.0,0.02123390729321534,5,0.5028051226339579,0.024224724558958195,0.015957679863077383,5,0.8313839653897187,0.01820533517194927,0.0,5,163172.0,0.0,0.0040461348536519415,5,0.9335457240613616,0.004616037030049442,0.009501156385211753,5,0.1671875,0.010839403848055948,0.005045912257350665,5,0.11775242233341483,0.0057566340897630104,0.036969823208169925,5,0.37728071963517296,0.04217706010694761,0.0252003734029484,5,0.779271240234375,0.028749871422127718,0.0,5,162066.0,0.0,0.01819013723513821,5,0.8228243953904553,0.02075223641725465,0.004842237667132834,5,0.28125,0.005524271728019907,0.006496983436198039,5,0.2502486915809312,0.007412090108178054
tkgl-smallpedia,ssptgfm,random_fourier_time,label_split,1.0,0.019432005228781427,5,0.5206458891779764,0.022169022770758485,0.011655945895433398,5,0.7953204587634373,0.013297697634820783,0.0,5,163172.0,0.0,0.0036921526915076677,5,0.9323633445717731,0.004212196123224468,0.01317231056515902,5,0.12734375,0.015027643798180737,0.0041353541283863276,5,0.09367446852687408,0.004717822929646032,0.03220892809990037,5,0.4547628457191797,0.036745588119275696,0.015131162035165227,5,0.7769091796875,0.017262401474078322,0.0,5,162066.0,0.0,0.011860890074738208,5,0.8542075366166886,0.013531508408554691,0.00892864508898187,5,0.290625,0.010186253758129142,0.005493267681000008,5,0.2575475467530507,0.006266999976182983
tkgl-smallpedia,ssptgfm,random_negative,label_split,1.0,0.014361026647193723,5,0.5676361934149848,0.01638379173969952,0.014745507823778776,5,0.8240932794838797,0.01682242747792058,0.0,5,163172.0,0.0,0.003165985163086293,5,0.9412705170646426,0.0036119173675595454,0.014846019563337509,5,0.16640625,0.016937096397405316,0.010530218918392483,5,0.1108474471080578,0.012013410877285666,0.01960918923407166,5,0.5308452346336114,0.02237116332195983,0.02003192075531746,5,0.818160400390625,0.02285343700447897,0.0,5,162066.0,0.0,0.0074469754781214485,5,0.8809709345886739,0.008495889487680387,0.010385442786660563,5,0.315625,0.011848242881330545,0.005447337817353589,5,0.2535229632102643,0.0062146008449020206
tkgl-smallpedia,ssptgfm,sem_only,label_split,1.0,0.0053547254156549005,5,0.5290522904111928,0.006108943892984784,0.0013480137146215836,5,0.8086250859034468,0.0015378828063754406,0.0,5,163172.0,0.0,0.0007017901409444128,5,0.9347128721319986,0.0008006379903524824,0.004464322544490933,5,0.11640625,0.005093126879064569,0.002011922885772083,5,0.08640959815441149,0.002295304254119348,0.006729683398636036,5,0.4458352467708969,0.007677566095103058,0.005950601600463298,5,0.7769970703125001,0.006788749839619887,0.0,5,162066.0,0.0,0.002472682984073131,5,0.8510259278529944,0.002820962877140077,0.00968447533426566,5,0.2734375,0.011048543456039804,0.004512173769050593,5,0.2433413817708284,0.0051477179968819195
tkgl-smallpedia,ssptgfm,struct_only,label_split,1.0,0.009752328400551557,5,0.5202429038170655,0.011125953695170958,0.0076715877229004605,5,0.8404669794975532,0.00875213859375421,0.0,5,163172.0,0.0,0.0017020401938245007,5,0.9357486561387794,0.0019417742723614802,0.019876781071925354,5,0.184375,0.02267644574015624,0.010098072069982384,5,0.12161541523303794,0.011520395709271748,0.026638541538026268,5,0.42706301663715107,0.03039060699004007,0.015826004839169527,5,0.7884497070312501,0.01805511358807331,0.0,5,162066.0,0.0,0.010479017257540515,5,0.8452554889938044,0.011954997410843885,0.009187500000000001,5,0.29375,0.010481568644530266,0.0041441862717935575,5,0.2565603198343275,0.004727899089363171
tkgl-smallpedia,ssptgfm,transformer_encoder,label_split,1.0,0.007891160725581223,5,0.5190995930845491,0.00900263867539601,0.008888855152549698,5,0.7991064291490142,0.0101408593690053,0.0,5,163172.0,0.0,0.00187199162165323,5,0.932488309656699,0.002135663530268719,0.019155931379895103,5,0.11484375,0.021854063641717755,0.010266506605950134,5,0.08571111525477525,0.011712554419568953,0.01942095259082679,5,0.49297667067526,0.022156413357596615,0.01286696472563426,5,0.7993237304687499,0.014679289689086805,0.0,5,162066.0,0.0,0.006539641938908365,5,0.8678246222648957,0.007460757104034506,0.00892864508898186,5,0.2953125,0.010186253758129133,0.007414686741369902,5,0.25541413326988244,0.008459052849780359
tkgl-smallpedia,ssptgfm,wavelet_time,label_split,1.0,0.0052320034555856584,5,0.5171151780155279,0.005968936421022109,0.011357942519840132,5,0.7982588216400324,0.012957720183111117,0.0,5,163172.0,0.0,0.0016582359354486032,5,0.9324532063813841,0.0018918001399979747,0.018053171250157127,5,0.11171875,0.020595978635100105,0.00634222179336597,5,0.08676413311634616,0.00723553013180966,0.02505845830054321,5,0.4872402621056933,0.02858796743436657,0.016039181798053727,5,0.7967626953125,0.018298316736696654,0.0,5,162066.0,0.0,0.00892910256351932,5,0.8660262890916501,0.010186775668416751,0.009684475334265663,5,0.296875,0.011048543456039808,0.0026532900087462216,5,0.2577050011296781,0.0030270085834579407
