,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_ndcg,test_ndcg,test_ndcg,test_ndcg,test_tgb_hits@10,test_tgb_hits@10,test_tgb_hits@10,test_tgb_hits@10,test_tgb_mrr,test_tgb_mrr,test_tgb_mrr,test_tgb_mrr,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_ndcg,val_ndcg,val_ndcg,val_ndcg,val_tgb_hits@10,val_tgb_hits@10,val_tgb_hits@10,val_tgb_hits@10,val_tgb_mrr,val_tgb_mrr,val_tgb_mrr,val_tgb_mrr
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tkgl-yago,ssptgfm,full,label_split,1.0,0.0028319074102968636,5,0.9158517761314531,0.003230784426229171,0.0009310742111381834,5,0.9625631350047893,0.0010622169531642703,0.0,5,40052.0,0.0,0.0003703662962218876,5,0.9884841099256354,0.00042253276271783885,0.0039039368150944817,5,0.9125,0.004453810254293515,0.0084635860847269,5,0.8983347255537579,0.009655690723913592,0.006590842454369409,5,0.877507565777378,0.007519169263755896,0.0033341960438878263,5,0.9557324218750001,0.0038038209206347207,0.0,5,39046.0,0.0,0.0016889085927091591,5,0.9745525975470501,0.001926793071980197,0.0,5,0.7421875,0.0,0.00940744108230205,5,0.7023588496995116,0.010732488650179376
tkgl-yago,ssptgfm,identity_time,label_split,1.0,0.003118892976214576,5,0.9149665994543816,0.0035581921986542996,0.000450203003406371,5,0.9609008680393807,0.0005136145506587831,0.0,5,40052.0,0.0,0.0004326517650128508,5,0.9882523616126445,0.0004935912026295916,0.002864706436748804,5,0.909375,0.003268203228648739,0.0022641993435168675,5,0.8968281060679759,0.0025831141054663844,0.0052310793936444725,5,0.8691049035662795,0.005967882204024195,0.002527644705917289,5,0.9516210937499998,0.0028836660129584303,0.0,5,39046.0,0.0,0.0013659969325911605,5,0.9724677696603404,0.0015583989787398126,0.0,5,0.7421875,0.0,0.0038508100210248963,5,0.698019110658054,0.004393200497678094
tkgl-yago,ssptgfm,lstm_encoder,label_split,1.0,0.002283365138180679,5,0.9141245493681909,0.00260497942164551,0.0023730807643919994,5,0.9623144812684785,0.0027073315843253436,0.0,5,40052.0,0.0,0.00043748271160538383,5,0.988222661470353,0.0004991025929237625,0.003062499999999998,5,0.9125,0.003493856214843419,0.0018426753489960265,5,0.9006018882269335,0.002102218031029727,0.006025399410973164,5,0.8667737335240018,0.006874082997205708,0.0032678054155920438,5,0.950689697265625,0.0037280791053600827,0.0,5,39046.0,0.0,0.0015045224832972688,5,0.97176252136144,0.0017164359930252474,0.005729412873497599,5,0.7484375,0.006536406457297466,0.002274500871138231,5,0.7063298633992099,0.0025948666136467215
tkgl-yago,ssptgfm,no_cross,label_split,1.0,0.0013740964522251317,5,0.9150358821130155,0.0015676393238860647,0.001107745102735786,5,0.9617370017474236,0.0012637721180916868,0.0,5,40052.0,0.0,0.00023881900852502151,5,0.9883045249758388,0.00027245690682706626,0.002864706436748804,5,0.9109375,0.003268203228648739,0.003959606492192835,5,0.8971421674988853,0.004517321061577893,0.0052363808758602625,5,0.8668829264849066,0.005973930405358896,0.00343929381348727,5,0.9518090820312499,0.003923721817118377,0.0,5,39046.0,0.0,0.0014120910133896332,5,0.9719942937141768,0.0016109854573243805,0.0,5,0.7421875,0.0,0.006190704003291791,5,0.7000543295239734,0.007062670908132922
tkgl-yago,ssptgfm,no_gate,label_split,1.0,0.001654239078822869,5,0.9124655881176427,0.0018872403220839633,0.0017053217602269913,5,0.9603812452742325,0.0019455180507026275,0.0,5,40052.0,0.0,0.0003096512483661525,5,0.9878681675666267,0.0003532659391144835,0.003062500000000008,5,0.90859375,0.003493856214843431,0.004084491288373264,5,0.8946946386758455,0.00465979600730016,0.006960647779433092,5,0.8592379068112175,0.007941062041961917,0.004013902970763834,5,0.947860107421875,0.004579265253936879,0.0,5,39046.0,0.0,0.0017977699286747253,5,0.9699729561839755,0.0020509876369498134,0.004842237667132834,5,0.7421875,0.005524271728019907,0.005942799157484207,5,0.6989877367264542,0.006779848414675084
tkgl-yago,ssptgfm,no_theory_loss,label_split,1.0,0.007083546694224539,5,0.9123099085091233,0.008081271392897953,0.005525848192609033,5,0.9707709970110363,0.006304169485723545,0.0,5,40052.0,0.0,0.0012490643337889967,5,0.9887892943917986,0.0014249963054197368,0.0015312500000000107,5,0.90546875,0.001746928107421723,0.0013755560484527269,5,0.8959306319562834,0.0015693045057149446,0.013038597722927729,5,0.8448526962682192,0.014875097367214476,0.011219780512688425,5,0.9516271972656251,0.012800097917856511,0.0,5,39046.0,0.0,0.0038494484947310457,5,0.9670470471233585,0.0043916471990320715,0.006125000000000002,5,0.7453125,0.006987712429686846,0.0075626999930275595,5,0.6863040108429482,0.008627913917268781
tkgl-yago,ssptgfm,random_fourier_time,label_split,1.0,0.0012999944230899477,5,0.9165610511119688,0.0014830999491835435,0.0009696167670198304,5,0.9631102893724925,0.0011061882669285293,0.0,5,40052.0,0.0,0.00018235327885106684,5,0.9886188347354391,0.0002080379221586532,0.0024211188335664154,5,0.91015625,0.0027621358640099515,0.002725989736436003,5,0.9010646305888219,0.0031099481411416526,0.002852415354022901,5,0.8737376481661017,0.003254180934520069,0.0016681966807235607,5,0.9550671386718751,0.0019031638662945895,0.0,5,39046.0,0.0,0.0008022017958682856,5,0.9737235619823791,0.0009151927281805595,0.006125000000000002,5,0.7453125,0.006987712429686846,0.0066362981313832685,5,0.7090243225778784,0.007571027418738684
tkgl-yago,ssptgfm,random_negative,label_split,1.0,0.0014853113716623524,5,0.922830681711029,0.0016945189769339158,0.0009079074186217206,5,0.9589422663762417,0.0010357870945482276,0.0,5,40052.0,0.0,0.00022134445448200333,5,0.989244904508416,0.00025252104421651404,0.0,5,0.91015625,0.0,0.0011736715441562297,5,0.8867977258012953,0.001338984365301263,0.011033020792595756,5,0.8824988813600904,0.012587032902761591,0.0022069422575976827,5,0.9512438964843749,0.0025177923012271787,0.0,5,39046.0,0.0,0.0022533823396191574,5,0.9752229804114734,0.002570773515656099,0.0030624999999999945,5,0.7359375,0.0034938562148434152,0.002842332954250615,5,0.6768948393319179,0.0032426784185674365
tkgl-yago,ssptgfm,sem_only,label_split,1.0,0.000417485551231803,5,0.9113593822569669,0.00047628881233585847,0.0008908175783491866,5,0.9649562968707442,0.0010162901330308808,0.0,5,40052.0,0.0,8.560600252011279e-05,5,0.9880123803828991,9.766369434540332e-05,0.0030624999999999945,5,0.9078125,0.0034938562148434152,0.0031002336086520016,5,0.888308657096378,0.0035369046403445695,0.006265533873812398,5,0.8491073385145622,0.007148040641414342,0.0026948051499239576,5,0.945472412109375,0.003074371174156368,0.0,5,39046.0,0.0,0.0014667615987151682,5,0.967446562794016,0.0016733564497517267,0.0030624999999999945,5,0.7484375,0.0034938562148434152,0.0030319917432577834,5,0.7048691946319485,0.003459050839358415
tkgl-yago,ssptgfm,struct_only,label_split,1.0,0.0023551002051935077,5,0.9247526012641305,0.002686818445222646,0.0013926194153738235,5,0.9779779281291656,0.0015887712650825947,0.0,5,40052.0,0.0,0.0003930922565484433,5,0.9907418297022822,0.0004484596974852582,0.0039039368150944795,5,0.9078125,0.004453810254293512,0.0018758720167188286,5,0.8951356147451959,0.0021400904828943485,0.008567177957079963,5,0.8632118342846621,0.009773873616004373,0.005278025445738888,5,0.961773681640625,0.006021440654921318,0.0,5,39046.0,0.0,0.0022222682384194082,5,0.971923052769033,0.002535276961910463,0.0030624999999999945,5,0.7484375,0.0034938562148434152,0.006327075069173665,5,0.6900994226412557,0.007218249976232908
tkgl-yago,ssptgfm,transformer_encoder,label_split,1.0,0.0034286819646030297,5,0.9133848948113578,0.003911615278612195,0.001492386566409072,5,0.9612650972217093,0.0017025907199990763,0.0,5,40052.0,0.0,0.0004654519669875336,5,0.9880769012630239,0.0005310113461454659,0.0024211188335664154,5,0.91015625,0.0027621358640099515,0.004927294738775595,5,0.8964929836884586,0.0056213091740200515,0.006227580304072258,5,0.8674404327006311,0.0071047412730838675,0.00282457654551716,5,0.9525732421875001,0.0032224210017489283,0.0,5,39046.0,0.0,0.0015285305319317937,5,0.9721362786778863,0.001743825599532349,0.003062500000000001,5,0.74375,0.003493856214843423,0.00743191665848614,5,0.6995399631675124,0.008478709618106173
tkgl-yago,ssptgfm,wavelet_time,label_split,1.0,0.003965763020620501,5,0.9134249549253692,0.004524344743246092,0.0017334300977099825,5,0.9616138349704457,0.0019775854758793997,0.0,5,40052.0,0.0,0.0004794306540415312,5,0.9881456147809493,0.0005469589453745144,0.0028647064367487898,5,0.909375,0.0032682032286487227,0.008267560005770199,5,0.8952509277718974,0.00943205417395955,0.009901621823374344,5,0.8678256928027036,0.01129627524722472,0.006085470371462029,5,0.95237060546875,0.006942615013086731,0.0,5,39046.0,0.0,0.002693460450495955,5,0.972233430954535,0.003072837072457226,0.003062500000000008,5,0.74375,0.003493856214843431,0.009999810287640116,5,0.7028424394522704,0.011408293655747461
