,,,,,test_ap,test_ap,test_ap,test_ap,test_auc,test_auc,test_auc,test_auc,test_edges,test_edges,test_edges,test_edges,test_hits@1,test_hits@1,test_hits@1,test_hits@1,test_hits@10,test_hits@10,test_hits@10,test_hits@10,test_hits@100,test_hits@100,test_hits@100,test_hits@100,test_hits@50,test_hits@50,test_hits@50,test_hits@50,test_mrr,test_mrr,test_mrr,test_mrr,test_ndcg,test_ndcg,test_ndcg,test_ndcg,val_ap,val_ap,val_ap,val_ap,val_auc,val_auc,val_auc,val_auc,val_edges,val_edges,val_edges,val_edges,val_hits@1,val_hits@1,val_hits@1,val_hits@1,val_hits@10,val_hits@10,val_hits@10,val_hits@10,val_hits@100,val_hits@100,val_hits@100,val_hits@100,val_hits@50,val_hits@50,val_hits@50,val_hits@50,val_mrr,val_mrr,val_mrr,val_mrr,val_ndcg,val_ndcg,val_ndcg,val_ndcg
,,,,,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std,ci95,count,mean,std
dataset,method,ablation,scenario,few_shot_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yago15k-temporal,ssptgfm,full,standard,1.0,0.0072602496689460755,5,0.15775667409759228,0.008282863159889678,0.013475722305372298,5,0.5895996361201922,0.015373791388123795,0.0,5,26719.0,0.0,0.009320023843555576,5,0.062,0.010632758605157723,0.022950512945127066,5,0.29766666666666663,0.026183115848873992,0.04767990678588949,5,0.593,0.05439566976229716,0.018099809698201554,5,0.505,0.02064918615560644,0.01124819971241816,5,0.14426212661730553,0.012832519990541118,0.0034782089591689175,5,0.8293158033571876,0.003968118200331883,0.003980313927179103,5,0.14847126222512239,0.004540945159674297,0.00962677983086708,5,0.5793513999493047,0.0109827214827769,0.0,5,6738.0,0.0,0.010453333333333335,5,0.09866666666666667,0.011925695879998881,0.01263486534246497,5,0.4093333333333334,0.014414498873626447,0.05574430514012667,5,0.5733333333333334,0.06359594676112969,0.02674679960086607,5,0.49466666666666664,0.0305141133102555,0.016691987787294846,5,0.20361597079686627,0.019043071108156926,0.0021579425672366126,5,0.8021903662310015,0.0024618909550415697
yago15k-temporal,ssptgfm,identity_time,standard,1.0,0.006751261823605241,5,0.15376740496323618,0.007702183863000263,0.026506080896762593,5,0.5983050298483639,0.030239489133811095,0.0,5,26719.0,0.0,0.006662718831094572,5,0.05900000000000001,0.00760116950066092,0.017118081408589902,5,0.2806666666666667,0.019529180445909376,0.020546268652861386,5,0.6223333333333334,0.023440231322332188,0.023610566372801088,5,0.517,0.02693613846778259,0.012776980930077309,5,0.13939878393032895,0.014576631585138444,0.0035642562844853173,5,0.8265905681438428,0.004066285378234693,0.0042895587909005045,5,0.14713101893370065,0.004893747474456804,0.019489413230556127,5,0.5857943074551983,0.022234516747503718,0.0,5,6738.0,0.0,0.017111846448846158,5,0.088,0.019522067285795097,0.01670797015399138,5,0.4073333333333333,0.019061304607327734,0.050123910461974126,5,0.6553333333333333,0.057183913821983186,0.020701493236532996,5,0.5326666666666666,0.02361731944522445,0.026104336933107437,5,0.1906841984698156,0.029781159127544192,0.002614651864336591,5,0.8002327612114625,0.00298292821742509
yago15k-temporal,ssptgfm,lstm_encoder,standard,1.0,0.010970784993314034,5,0.15677459106110428,0.012516031128359572,0.011582767572059983,5,0.58003827838647,0.01321421207076853,0.0,5,26719.0,0.0,0.004549940170546815,5,0.06466666666666668,0.005190803834132482,0.018839351250920365,5,0.294,0.021492892882170225,0.05325167665592009,5,0.5986666666666667,0.060752229040038776,0.017802584082093238,5,0.5033333333333333,0.02031009601158989,0.006671239716859561,5,0.1451622549456407,0.0076108905617828715,0.005546752697965843,5,0.828186363172569,0.006328018411751013,0.0042656396241089935,5,0.1471144670449649,0.004866459268889981,0.014884564030144275,5,0.5677028506467882,0.016981069891250422,0.0,5,6738.0,0.0,0.018199760682187247,5,0.11533333333333333,0.020763215336529913,0.006726478358778184,5,0.39866666666666667,0.007673909622147572,0.07535740500368153,5,0.5726666666666667,0.08597157152868097,0.042822000576027884,5,0.4913333333333333,0.048853522561496686,0.015225580790932459,5,0.21385905595697507,0.01737011920685714,0.0025167520048111187,5,0.8010520281601575,0.0028712390639114996
yago15k-temporal,ssptgfm,no_cross,standard,1.0,0.005107122210115239,5,0.15311073820480411,0.005826465526130938,0.014559856916399595,5,0.5794356048745822,0.016610627452928555,0.0,5,26719.0,0.0,0.011428665713896788,5,0.063,0.013038404810405297,0.02375026175294358,5,0.29433333333333334,0.0270955100831608,0.04149309661457756,5,0.5346666666666666,0.04733744113630706,0.013253169013065844,5,0.4806666666666667,0.015119891240055626,0.014517145617302678,5,0.14308189148496006,0.016561900224261194,0.002521678199978539,5,0.8271323787279045,0.0028768591186384296,0.0034683428923397877,5,0.14467396898985402,0.0039568624880357145,0.015708554436887432,5,0.5680408938692587,0.01792112017813073,0.0,5,6738.0,0.0,0.018082113937381447,5,0.10133333333333334,0.02062899792902107,0.01354780835084078,5,0.4033333333333333,0.015456030825826176,0.04281203153839401,5,0.5293333333333333,0.04884214937485404,0.023915926817824878,5,0.4666666666666666,0.027284509239574824,0.017373254518496393,5,0.20362523881581276,0.01982029494579761,0.0019975260434568374,5,0.7998894481810563,0.0022788796020386166
yago15k-temporal,ssptgfm,no_gate,standard,1.0,0.00838601862851478,5,0.15801368346032318,0.009567197813233983,0.006794350915121186,5,0.5905267291033715,0.007751342096530039,0.0,5,26719.0,0.0,0.007231074916251691,5,0.07333333333333333,0.008249579113843053,0.00796155763654324,5,0.31633333333333336,0.009082951062292474,0.02183052501022874,5,0.5143333333333333,0.02490537648335753,0.016089784198539018,5,0.4793333333333333,0.018356046536344497,0.004902235666724269,5,0.15668471983156101,0.005592720506387486,0.003711872880352069,5,0.8298314645093201,0.004234693920563862,0.00628996562198399,5,0.14233393565816516,0.0071759136259657895,0.00564127774681454,5,0.5734389247870582,0.006435857409099061,0.0,5,6738.0,0.0,0.011613907371959036,5,0.11466666666666667,0.013249737942901194,0.009377097395012779,5,0.3953333333333333,0.010697871023920802,0.023610566372801057,5,0.5013333333333334,0.026936138467782554,0.01657974131952071,5,0.4573333333333333,0.01891501461214815,0.008279634585955667,5,0.21487213916621747,0.00944582947094653,0.0037468189157399156,5,0.7984581387536205,0.004274562140294137
yago15k-temporal,ssptgfm,no_theory_loss,standard,1.0,0.005718737961431934,5,0.17700935419128896,0.00652422797309713,0.01095586702323766,5,0.6093017013366853,0.012499011947146773,0.0,5,26719.0,0.0,0.0028100929205672593,5,0.058666666666666666,0.0032058973436118925,0.017814568320462992,5,0.28700000000000003,0.02032376824202526,0.05443290099848723,5,0.546,0.062099830023027366,0.028646264057367837,5,0.4883333333333333,0.0326811192518793,0.003925415225349925,5,0.1371184403899918,0.0044783139203036166,0.0022070136798747583,5,0.8377650330541855,0.0025178737834040408,0.0029667654666803633,5,0.15817174554816224,0.0033846373759164185,0.009999519934064043,5,0.5938483110503896,0.011407962405577253,0.0,5,6738.0,0.0,0.013951382249320913,5,0.09466666666666666,0.01591644851508443,0.009778197970769236,5,0.386,0.011155467020454345,0.051584380064770265,5,0.504,0.05885009204184251,0.024740552405581675,5,0.45066666666666666,0.028225284173355396,0.013925114725367352,5,0.19186531705113075,0.015886481183879957,0.0016201138029043423,5,0.8075981420712737,0.0018483084666223498
yago15k-temporal,ssptgfm,random_fourier_time,standard,1.0,0.009239712872640025,5,0.17268159005348482,0.010541135752960692,0.011197233655837762,5,0.5932061019253794,0.012774375313470266,0.0,5,26719.0,0.0,0.005307705091028825,5,0.06966666666666667,0.006055300708194981,0.005934194694031092,5,0.31166666666666665,0.00677003200386331,0.044028559418228114,5,0.571,0.05023002643395238,0.016835222336254164,5,0.5073333333333333,0.01920648038785058,0.006017305785528806,5,0.15263263796817375,0.0068648493764516235,0.003520620079258664,5,0.8355842461047469,0.004016502969476057,0.007929246294301744,5,0.15228269879353168,0.00904608863489643,0.008654995234989736,5,0.5798078864255758,0.009874060046109091,0.0,5,6738.0,0.0,0.012835963366867157,5,0.11133333333333333,0.014643921757659202,0.009377097395012789,5,0.40533333333333327,0.010697871023920814,0.05511283939942365,5,0.558,0.06287553843374488,0.028252417792307798,5,0.49000000000000005,0.032231799343022845,0.008215434186565881,5,0.2145422557161491,0.009372586380529081,0.0043350607080364,5,0.804035492507451,0.004945658382529469
yago15k-temporal,ssptgfm,random_negative,standard,1.0,0.011932846035755154,5,0.13498322409438468,0.013613599439279292,0.030772695769771187,5,0.5460447580780994,0.03510706101639214,0.0,5,26719.0,0.0,0.007907762712114665,5,0.06266666666666668,0.009021579068482903,0.009041056968690722,5,0.29900000000000004,0.010314498964510532,0.019474375186097452,5,0.5396666666666666,0.022217360579310726,0.012073416160216517,5,0.461,0.013773969007596237,0.007621200358771413,5,0.1419521167043794,0.00869465411855034,0.006380390024793226,5,0.8176815987043534,0.00727907439714246,0.01010086100371792,5,0.1570895127450927,0.011523577467137768,0.02888691341771828,5,0.5614753281913798,0.03295566431743309,0.0,5,6738.0,0.0,0.0063343016803573396,5,0.10066666666666665,0.0072264944628929375,0.006975691124660453,5,0.406,0.007958224257542211,0.023610566372801078,5,0.6653333333333333,0.02693613846778258,0.019203999583420124,5,0.5393333333333333,0.021908902300206652,0.007184992661003666,5,0.20515682845787295,0.008197006126449644,0.005814946501825969,5,0.8047412365076665,0.0066339875834732
yago15k-temporal,ssptgfm,sem_only,standard,1.0,0.005133418973775999,5,0.17185000347755536,0.00585646621548487,0.01044667548929726,5,0.6129324477127425,0.011918100271913036,0.0,5,26719.0,0.0,0.004889098985384616,5,0.06633333333333333,0.005577733510227169,0.0063174326712324876,5,0.302,0.007207249436813226,0.0696987562458773,5,0.588,0.07951589638416823,0.03909641870498569,5,0.5046666666666667,0.04460318872507261,0.0034420128793866992,5,0.14951335665584442,0.003926823866193084,0.0024014821134082237,5,0.835675728621777,0.0027397332920054327,0.00495522193363603,5,0.15836492270728325,0.0056531699424531194,0.013078079371114756,5,0.6023227745403787,0.014920140045382804,0.0,5,6738.0,0.0,0.00443112225564184,5,0.10800000000000001,0.005055250296034365,0.009908290580227358,5,0.4066666666666666,0.011303883305208779,0.0625428052527938,5,0.604,0.07135202247386625,0.03223258254899502,5,0.496,0.03677257432139097,0.005376140386493884,5,0.2126005619736266,0.006133375184072611,0.0025380508908147245,5,0.8073143962486137,0.002895537919497766
