2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-20_22:58:21 used_mb=4658 total_mb=32768
2026-05-20_22:58:51 used_mb=7218 total_mb=32768
2026-05-20_22:59:21 used_mb=7974 total_mb=32768
2026-05-20_22:59:51 used_mb=8752 total_mb=32768
2026-05-20_23:00:21 used_mb=9426 total_mb=32768
2026-05-20_23:00:51 used_mb=9866 total_mb=32768
2026-05-20_23:01:21 used_mb=10230 total_mb=32768
2026-05-20_23:01:51 used_mb=10916 total_mb=32768
2026-05-20_23:02:21 used_mb=10956 total_mb=32768
2026-05-20_23:02:51 used_mb=10956 total_mb=32768
2026-05-20_23:03:21 used_mb=10958 total_mb=32768
2026-05-20_23:03:52 used_mb=10958 total_mb=32768
2026-05-20_23:04:22 used_mb=10958 total_mb=32768
2026-05-20_23:04:52 used_mb=10958 total_mb=32768
2026-05-20_23:05:22 used_mb=10958 total_mb=32768
2026-05-20_23:05:52 used_mb=10958 total_mb=32768
2026-05-20_23:06:22 used_mb=10978 total_mb=32768
2026-05-20_23:06:52 used_mb=10978 total_mb=32768
2026-05-20_23:07:22 used_mb=10978 total_mb=32768
2026-05-20_23:07:52 used_mb=10998 total_mb=32768
2026-05-20_23:08:22 used_mb=10998 total_mb=32768
2026-05-20_23:08:52 used_mb=10998 total_mb=32768
2026-05-20_23:09:22 used_mb=10998 total_mb=32768
2026-05-20_23:09:52 used_mb=11018 total_mb=32768
2026-05-20_23:10:23 used_mb=11018 total_mb=32768
2026-05-20_23:10:53 used_mb=11020 total_mb=32768
2026-05-20_23:11:23 used_mb=11020 total_mb=32768
2026-05-20_23:11:53 used_mb=11040 total_mb=32768
2026-05-20_23:12:23 used_mb=11342 total_mb=32768
2026-05-20_23:12:53 used_mb=11342 total_mb=32768
2026-05-20_23:13:23 used_mb=11342 total_mb=32768
2026-05-20_23:13:53 used_mb=11346 total_mb=32768
2026-05-20_23:14:23 used_mb=11710 total_mb=32768
2026-05-20_23:14:53 used_mb=11710 total_mb=32768
2026-05-20_23:15:23 used_mb=11710 total_mb=32768
2026-05-20_23:15:53 used_mb=11710 total_mb=32768
2026-05-20_23:16:23 used_mb=11710 total_mb=32768
2026-05-20_23:16:54 used_mb=11710 total_mb=32768
2026-05-20_23:17:24 used_mb=11710 total_mb=32768
2026-05-20_23:17:54 used_mb=11710 total_mb=32768
2026-05-20_23:18:24 used_mb=11990 total_mb=32768
2026-05-20_23:18:54 used_mb=12112 total_mb=32768
2026-05-20_23:19:24 used_mb=12152 total_mb=32768
2026-05-20_23:19:54 used_mb=12152 total_mb=32768
2026-05-20_23:20:24 used_mb=12152 total_mb=32768
2026-05-20_23:20:54 used_mb=12152 total_mb=32768
2026-05-20_23:21:24 used_mb=12152 total_mb=32768
2026-05-20_23:21:54 used_mb=12152 total_mb=32768
2026-05-20_23:22:24 used_mb=12292 total_mb=32768
2026-05-20_23:22:54 used_mb=12292 total_mb=32768
2026-05-20_23:23:25 used_mb=12512 total_mb=32768
2026-05-20_23:23:55 used_mb=12512 total_mb=32768
2026-05-20_23:24:25 used_mb=12512 total_mb=32768
2026-05-20_23:24:55 used_mb=12512 total_mb=32768
2026-05-20_23:25:25 used_mb=12512 total_mb=32768
2026-05-20_23:25:55 used_mb=12512 total_mb=32768
2026-05-20_23:26:25 used_mb=12512 total_mb=32768
2026-05-20_23:26:55 used_mb=12514 total_mb=32768
2026-05-20_23:27:25 used_mb=12514 total_mb=32768
2026-05-20_23:27:55 used_mb=12514 total_mb=32768
2026-05-20_23:28:25 used_mb=12514 total_mb=32768
2026-05-20_23:28:55 used_mb=12514 total_mb=32768
2026-05-20_23:29:25 used_mb=12514 total_mb=32768
2026-05-20_23:29:55 used_mb=12514 total_mb=32768
2026-05-20_23:30:26 used_mb=12514 total_mb=32768
2026-05-20_23:30:56 used_mb=12514 total_mb=32768
2026-05-20_23:31:26 used_mb=12514 total_mb=32768
2026-05-20_23:31:56 used_mb=12514 total_mb=32768
2026-05-20_23:32:26 used_mb=12514 total_mb=32768
2026-05-20_23:32:56 used_mb=12514 total_mb=32768
2026-05-20_23:33:26 used_mb=12514 total_mb=32768
2026-05-20_23:33:56 used_mb=12514 total_mb=32768
2026-05-20_23:34:26 used_mb=12514 total_mb=32768
2026-05-20_23:34:56 used_mb=12514 total_mb=32768
2026-05-20_23:35:26 used_mb=12514 total_mb=32768
2026-05-20_23:35:56 used_mb=12514 total_mb=32768
2026-05-20_23:36:27 used_mb=12514 total_mb=32768
2026-05-20_23:36:57 used_mb=12514 total_mb=32768
