2026-05-20_00:29:36 formal_watchdog_start threshold_mb=24000
2026-05-20_00:29:36 used_mb=9742 total_mb=32768
2026-05-20_00:30:06 used_mb=9742 total_mb=32768
2026-05-20_00:30:36 used_mb=10022 total_mb=32768
2026-05-20_00:31:07 used_mb=10144 total_mb=32768
2026-05-20_00:31:37 used_mb=10184 total_mb=32768
2026-05-20_00:32:07 used_mb=10186 total_mb=32768
2026-05-20_00:32:37 used_mb=10186 total_mb=32768
2026-05-20_00:33:07 used_mb=10186 total_mb=32768
2026-05-20_00:33:37 used_mb=10186 total_mb=32768
2026-05-20_00:34:07 used_mb=10186 total_mb=32768
2026-05-20_00:34:37 used_mb=10186 total_mb=32768
2026-05-20_00:35:07 used_mb=10326 total_mb=32768
2026-05-20_00:35:37 used_mb=10546 total_mb=32768
2026-05-20_00:36:07 used_mb=10546 total_mb=32768
2026-05-20_00:36:37 used_mb=10546 total_mb=32768
2026-05-20_00:37:08 used_mb=10546 total_mb=32768
2026-05-20_00:37:38 used_mb=10546 total_mb=32768
2026-05-20_00:38:08 used_mb=10546 total_mb=32768
2026-05-20_00:38:38 used_mb=10546 total_mb=32768
2026-05-20_00:39:08 used_mb=10546 total_mb=32768
2026-05-20_00:39:38 used_mb=10548 total_mb=32768
2026-05-20_00:40:08 used_mb=10548 total_mb=32768
2026-05-20_00:40:38 used_mb=10548 total_mb=32768
2026-05-20_00:41:08 used_mb=10548 total_mb=32768
2026-05-20_00:41:38 used_mb=10548 total_mb=32768
2026-05-20_00:42:08 used_mb=10548 total_mb=32768
2026-05-20_00:42:38 used_mb=10548 total_mb=32768
2026-05-20_00:43:09 used_mb=10548 total_mb=32768
2026-05-20_00:43:39 used_mb=10548 total_mb=32768
2026-05-20_00:44:09 used_mb=10548 total_mb=32768
2026-05-20_00:44:39 used_mb=10548 total_mb=32768
2026-05-20_00:45:09 used_mb=10548 total_mb=32768
2026-05-20_00:45:39 used_mb=10548 total_mb=32768
2026-05-20_00:46:09 used_mb=10548 total_mb=32768
2026-05-20_00:46:39 used_mb=10548 total_mb=32768
2026-05-20_00:47:09 used_mb=10548 total_mb=32768
2026-05-20_00:47:39 used_mb=10548 total_mb=32768
