2026-05-21_08:34:49 icews05_corrected_watchdog_start threshold_mb=24000
2026-05-21_08:34:49 used_mb=0 total_mb=32768
2026-05-21_08:35:19 used_mb=1022 total_mb=32768
2026-05-21_08:35:49 used_mb=1422 total_mb=32768
2026-05-21_08:36:19 used_mb=1762 total_mb=32768
2026-05-21_08:36:50 used_mb=2082 total_mb=32768
2026-05-21_08:37:20 used_mb=2382 total_mb=32768
2026-05-21_08:37:50 used_mb=2682 total_mb=32768
2026-05-21_08:38:20 used_mb=2968 total_mb=32768
2026-05-21_08:38:50 used_mb=3248 total_mb=32768
2026-05-21_08:39:20 used_mb=3488 total_mb=32768
2026-05-21_08:39:50 used_mb=3748 total_mb=32768
2026-05-21_08:40:20 used_mb=3988 total_mb=32768
2026-05-21_08:40:50 used_mb=4248 total_mb=32768
2026-05-21_08:41:20 used_mb=4488 total_mb=32768
2026-05-21_08:41:50 used_mb=4628 total_mb=32768
2026-05-21_08:42:20 used_mb=4828 total_mb=32768
2026-05-21_08:42:50 used_mb=5028 total_mb=32768
2026-05-21_08:43:20 used_mb=5188 total_mb=32768
2026-05-21_08:43:51 used_mb=5388 total_mb=32768
2026-05-21_08:44:21 used_mb=5588 total_mb=32768
2026-05-21_08:44:51 used_mb=5628 total_mb=32768
2026-05-21_08:45:21 used_mb=5728 total_mb=32768
2026-05-21_08:45:51 used_mb=5828 total_mb=32768
2026-05-21_08:46:21 used_mb=5888 total_mb=32768
2026-05-21_08:46:51 used_mb=5968 total_mb=32768
2026-05-21_08:47:21 used_mb=6108 total_mb=32768
2026-05-21_08:47:51 used_mb=6208 total_mb=32768
2026-05-21_08:48:21 used_mb=6208 total_mb=32768
2026-05-21_08:48:51 used_mb=6208 total_mb=32768
2026-05-21_08:49:21 used_mb=6208 total_mb=32768
2026-05-21_08:49:51 used_mb=6214 total_mb=32768
2026-05-21_08:50:21 used_mb=6214 total_mb=32768
2026-05-21_08:50:51 used_mb=6214 total_mb=32768
2026-05-21_08:51:22 used_mb=6214 total_mb=32768
2026-05-21_08:51:52 used_mb=6214 total_mb=32768
2026-05-21_08:52:22 used_mb=6214 total_mb=32768
2026-05-21_08:52:52 used_mb=6214 total_mb=32768
2026-05-21_08:53:22 used_mb=6214 total_mb=32768
2026-05-21_08:53:52 used_mb=6224 total_mb=32768
2026-05-21_08:54:22 used_mb=6224 total_mb=32768
2026-05-21_08:54:52 used_mb=6224 total_mb=32768
2026-05-21_08:55:22 used_mb=6224 total_mb=32768
2026-05-21_08:55:52 used_mb=6224 total_mb=32768
2026-05-21_08:56:22 used_mb=6224 total_mb=32768
2026-05-21_08:56:52 used_mb=6224 total_mb=32768
2026-05-21_08:57:22 used_mb=6224 total_mb=32768
2026-05-21_08:57:52 used_mb=6224 total_mb=32768
2026-05-21_08:58:22 used_mb=6224 total_mb=32768
2026-05-21_08:58:53 used_mb=6224 total_mb=32768
2026-05-21_08:59:23 used_mb=6224 total_mb=32768
2026-05-21_08:59:53 used_mb=6224 total_mb=32768
2026-05-21_09:00:23 used_mb=6224 total_mb=32768
2026-05-21_09:00:53 used_mb=6224 total_mb=32768
2026-05-21_09:01:23 used_mb=6224 total_mb=32768
2026-05-21_09:01:53 used_mb=6224 total_mb=32768
2026-05-21_09:02:23 used_mb=6224 total_mb=32768
2026-05-21_09:02:53 used_mb=6224 total_mb=32768
2026-05-21_09:03:23 used_mb=6224 total_mb=32768
2026-05-21_09:03:53 used_mb=6224 total_mb=32768
2026-05-21_09:04:23 used_mb=6224 total_mb=32768
2026-05-21_09:04:53 used_mb=6224 total_mb=32768
2026-05-21_09:05:23 used_mb=6224 total_mb=32768
2026-05-21_09:05:54 used_mb=6224 total_mb=32768
2026-05-21_09:06:24 used_mb=6224 total_mb=32768
2026-05-21_09:06:54 used_mb=6224 total_mb=32768
2026-05-21_09:07:24 used_mb=6224 total_mb=32768
2026-05-21_09:07:54 used_mb=6224 total_mb=32768
2026-05-21_09:08:24 used_mb=6224 total_mb=32768
2026-05-21_09:08:54 used_mb=6224 total_mb=32768
2026-05-21_09:09:24 used_mb=6224 total_mb=32768
2026-05-21_09:09:54 used_mb=6224 total_mb=32768
2026-05-21_09:10:24 used_mb=6224 total_mb=32768
2026-05-21_09:10:54 used_mb=6224 total_mb=32768
2026-05-21_09:11:24 used_mb=6224 total_mb=32768
2026-05-21_09:11:54 used_mb=6224 total_mb=32768
2026-05-21_09:12:24 used_mb=6224 total_mb=32768
2026-05-21_09:12:54 used_mb=6224 total_mb=32768
2026-05-21_09:13:25 used_mb=6224 total_mb=32768
2026-05-21_09:13:55 used_mb=6224 total_mb=32768
2026-05-21_09:14:25 used_mb=6224 total_mb=32768
2026-05-21_09:14:55 used_mb=6224 total_mb=32768
2026-05-21_09:15:25 used_mb=6224 total_mb=32768
2026-05-21_09:15:55 used_mb=6224 total_mb=32768
2026-05-21_09:16:25 used_mb=6224 total_mb=32768
2026-05-21_09:16:55 used_mb=6224 total_mb=32768
2026-05-21_09:17:25 used_mb=6224 total_mb=32768
2026-05-21_09:17:55 used_mb=6224 total_mb=32768
2026-05-21_09:18:25 used_mb=6224 total_mb=32768
2026-05-21_09:18:55 used_mb=6224 total_mb=32768
2026-05-21_09:19:25 used_mb=6224 total_mb=32768
2026-05-21_09:19:55 used_mb=6224 total_mb=32768
2026-05-21_09:20:26 used_mb=6224 total_mb=32768
2026-05-21_09:20:56 used_mb=6224 total_mb=32768
2026-05-21_09:21:26 used_mb=6224 total_mb=32768
2026-05-21_09:21:56 used_mb=6224 total_mb=32768
2026-05-21_09:22:26 used_mb=6224 total_mb=32768
2026-05-21_09:22:56 used_mb=6224 total_mb=32768
2026-05-21_09:23:26 used_mb=6224 total_mb=32768
2026-05-21_09:23:56 used_mb=6224 total_mb=32768
2026-05-21_09:24:26 used_mb=6224 total_mb=32768
2026-05-21_09:24:56 used_mb=6224 total_mb=32768
2026-05-21_09:25:26 used_mb=6224 total_mb=32768
2026-05-21_09:25:56 used_mb=6224 total_mb=32768
2026-05-21_09:26:26 used_mb=6224 total_mb=32768
2026-05-21_09:26:56 used_mb=6224 total_mb=32768
2026-05-21_09:27:26 used_mb=6224 total_mb=32768
2026-05-21_09:27:57 used_mb=6224 total_mb=32768
