2026-05-20_22:57:01 yago_formal_watchdog_start threshold_mb=24000
2026-05-20_22:57:01 used_mb=0 total_mb=32768
2026-05-20_22:57:31 used_mb=1732 total_mb=32768
2026-05-20_22:58:01 used_mb=3510 total_mb=32768
2026-05-20_22:58:31 used_mb=6528 total_mb=32768
2026-05-20_22:59:01 used_mb=7606 total_mb=32768
2026-05-20_22:59:31 used_mb=8300 total_mb=32768
2026-05-20_23:00:01 used_mb=8944 total_mb=32768
2026-05-20_23:00:31 used_mb=9606 total_mb=32768
2026-05-20_23:01:01 used_mb=9946 total_mb=32768
2026-05-20_23:01:31 used_mb=10534 total_mb=32768
2026-05-20_23:02:02 used_mb=10956 total_mb=32768
2026-05-20_23:02:32 used_mb=10956 total_mb=32768
2026-05-20_23:03:02 used_mb=10956 total_mb=32768
2026-05-20_23:03:32 used_mb=10958 total_mb=32768
2026-05-20_23:04:02 used_mb=10958 total_mb=32768
2026-05-20_23:04:32 used_mb=10958 total_mb=32768
2026-05-20_23:05:02 used_mb=10958 total_mb=32768
2026-05-20_23:05:32 used_mb=10958 total_mb=32768
2026-05-20_23:06:02 used_mb=10978 total_mb=32768
2026-05-20_23:06:32 used_mb=10978 total_mb=32768
2026-05-20_23:07:02 used_mb=10978 total_mb=32768
2026-05-20_23:07:32 used_mb=10978 total_mb=32768
2026-05-20_23:08:02 used_mb=10998 total_mb=32768
2026-05-20_23:08:32 used_mb=10998 total_mb=32768
2026-05-20_23:09:03 used_mb=10998 total_mb=32768
2026-05-20_23:09:33 used_mb=10998 total_mb=32768
2026-05-20_23:10:03 used_mb=11018 total_mb=32768
2026-05-20_23:10:33 used_mb=11018 total_mb=32768
2026-05-20_23:11:03 used_mb=11020 total_mb=32768
2026-05-20_23:11:33 used_mb=11020 total_mb=32768
2026-05-20_23:12:03 used_mb=11042 total_mb=32768
2026-05-20_23:12:33 used_mb=11342 total_mb=32768
2026-05-20_23:13:03 used_mb=11342 total_mb=32768
2026-05-20_23:13:33 used_mb=11342 total_mb=32768
2026-05-20_23:14:03 used_mb=11346 total_mb=32768
2026-05-20_23:14:33 used_mb=11710 total_mb=32768
2026-05-20_23:15:03 used_mb=11710 total_mb=32768
2026-05-20_23:15:33 used_mb=11710 total_mb=32768
2026-05-20_23:16:03 used_mb=11710 total_mb=32768
2026-05-20_23:16:34 used_mb=11710 total_mb=32768
2026-05-20_23:17:04 used_mb=11710 total_mb=32768
2026-05-20_23:17:34 used_mb=11710 total_mb=32768
2026-05-20_23:18:04 used_mb=11710 total_mb=32768
2026-05-20_23:18:34 used_mb=11990 total_mb=32768
2026-05-20_23:19:04 used_mb=12152 total_mb=32768
2026-05-20_23:19:34 used_mb=12152 total_mb=32768
2026-05-20_23:20:04 used_mb=12152 total_mb=32768
2026-05-20_23:20:34 used_mb=12152 total_mb=32768
2026-05-20_23:21:04 used_mb=12152 total_mb=32768
2026-05-20_23:21:34 used_mb=12152 total_mb=32768
2026-05-20_23:22:04 used_mb=12152 total_mb=32768
2026-05-20_23:22:34 used_mb=12292 total_mb=32768
2026-05-20_23:23:04 used_mb=12292 total_mb=32768
2026-05-20_23:23:34 used_mb=12512 total_mb=32768
2026-05-20_23:24:05 used_mb=12512 total_mb=32768
2026-05-20_23:24:35 used_mb=12512 total_mb=32768
2026-05-20_23:25:05 used_mb=12512 total_mb=32768
2026-05-20_23:25:35 used_mb=12512 total_mb=32768
2026-05-20_23:26:05 used_mb=12512 total_mb=32768
2026-05-20_23:26:35 used_mb=12512 total_mb=32768
2026-05-20_23:27:05 used_mb=12514 total_mb=32768
2026-05-20_23:27:35 used_mb=12514 total_mb=32768
2026-05-20_23:28:05 used_mb=12514 total_mb=32768
2026-05-20_23:28:35 used_mb=12514 total_mb=32768
2026-05-20_23:29:05 used_mb=12514 total_mb=32768
2026-05-20_23:29:35 used_mb=12514 total_mb=32768
2026-05-20_23:30:05 used_mb=12514 total_mb=32768
2026-05-20_23:30:35 used_mb=12514 total_mb=32768
2026-05-20_23:31:05 used_mb=12514 total_mb=32768
2026-05-20_23:31:36 used_mb=12514 total_mb=32768
2026-05-20_23:32:06 used_mb=12514 total_mb=32768
2026-05-20_23:32:36 used_mb=12514 total_mb=32768
2026-05-20_23:33:06 used_mb=12514 total_mb=32768
2026-05-20_23:33:36 used_mb=12514 total_mb=32768
